ticket_id,customer_id,agent_id,category_id,channel,created_at,resolved_at,resolution_hours,sla_met,escalated,csat_score,status
T00208,CU0419,A017,C03,Chat,2025-02-26 11:00:00,2025-02-26 23:00:15.951880332,12.0,1,0,5,Resolved
T00209,CU0488,A015,C01,Chat,2025-07-09 11:00:00,2025-07-10 03:39:33.256090756,16.66,0,0,4,Resolved
T00210,CU0072,A018,C06,Chat,2025-08-10 14:00:00,2025-08-11 04:38:50.899959920,14.65,1,0,5,Resolved
T00211,CU0872,A011,C01,Email,2025-03-25 15:00:00,2025-03-25 22:17:33.611632868,7.29,1,0,4,Resolved
T00212,CU0570,A016,C05,Email,2025-06-12 10:00:00,2025-06-13 11:06:10.355487854,25.1,1,0,5,Resolved
T00213,CU0646,A014,C03,Chat,2025-09-04 08:00:00,2025-09-05 16:03:09.607676432,32.05,0,1,5,Resolved
T00214,CU0482,A015,C05,Chat,2025-06-11 14:00:00,2025-06-12 06:06:42.684358215,16.11,1,0,4,Resolved
T00215,CU0838,A008,C02,Chat,2025-05-20 18:00:00,2025-05-21 05:10:49.105157984,11.18,1,0,5,Resolved
T00216,CU0006,A010,C02,Chat,2025-01-27 09:00:00,2025-01-27 22:22:11.136433317,13.37,1,0,5,Resolved
T00217,CU0863,A017,C04,Chat,2025-06-14 13:00:00,2025-06-15 06:48:14.736260066,17.8,1,0,5,Resolved
T00218,CU0187,A009,C05,Email,2025-10-21 10:00:00,2025-10-23 05:55:04.331925811,43.92,1,1,2,Resolved
T00219,CU0797,A011,C02,Chat,2025-08-17 11:00:00,,10.52,1,0,3,Open
