customer_id,segment,region
CU0561,Standard,North
CU0562,Standard,West
CU0563,Premium,South
CU0564,Standard,South
CU0565,Standard,North
CU0566,Premium,North
CU0567,Premium,West
CU0568,Standard,South
CU0569,Standard,North
CU0570,Standard,South
CU0571,Standard,East
CU0572,Premium,South
CU0573,Standard,South
CU0574,Premium,West
CU0575,Premium,West
CU0576,Standard,West
CU0577,Business,West
CU0578,Standard,East
CU0579,Premium,West
CU0580,Standard,West
CU0581,Standard,West
CU0582,Standard,South
CU0583,Standard,North
CU0584,Standard,South
CU0585,Business,North
CU0586,Standard,South
CU0587,Standard,East
CU0588,Standard,West
CU0589,Standard,East
CU0590,Standard,West
CU0591,Business,South
CU0592,Standard,East
CU0593,Standard,North
CU0594,Standard,North
CU0595,Standard,West
CU0596,Standard,North
CU0597,Premium,East
CU0598,Standard,North
CU0599,Business,West
CU0600,Standard,North
CU0601,Standard,North
CU0602,Premium,East
CU0603,Business,West
CU0604,Premium,West
CU0605,Business,East
CU0606,Premium,West
CU0607,Premium,North
CU0608,Standard,West
CU0609,Premium,South
CU0610,Standard,North
CU0611,Standard,South
CU0612,Premium,South
CU0613,Business,North
CU0614,Business,North
CU0615,Standard,East
CU0616,Premium,South
CU0617,Premium,South
CU0618,Standard,East
CU0619,Standard,South
CU0620,Standard,South
CU0621,Premium,South
CU0622,Standard,West
CU0623,Business,East
CU0624,Standard,North
CU0625,Business,North
CU0626,Standard,South
CU0627,Premium,West
CU0628,Standard,West
CU0629,Standard,South
CU0630,Premium,South
CU0631,Business,South
CU0632,Premium,South
CU0633,Standard,West
CU0634,Standard,North
CU0635,Standard,South
CU0636,Standard,West
CU0637,Premium,North
CU0638,Premium,North
CU0639,Premium,East
CU0640,Premium,West
CU0641,Premium,East
CU0642,Premium,South
CU0643,Standard,West
CU0644,Standard,South
CU0645,Standard,West
CU0646,Premium,West
CU0647,Standard,South
CU0648,Standard,North
CU0649,Premium,South
CU0650,Standard,South
CU0651,Standard,South
CU0652,Premium,West
CU0653,Premium,South
CU0654,Standard,West
CU0655,Premium,South
CU0656,Standard,North
CU0657,Premium,East
CU0658,Standard,West
CU0659,Standard,North
CU0660,Standard,East
CU0661,Standard,East
CU0662,Premium,North
CU0663,Standard,East
CU0664,Standard,East
CU0665,Standard,North
CU0666,Premium,West
CU0667,Premium,South
CU0668,Business,South
CU0669,Standard,West
CU0670,Standard,West
CU0671,Standard,West
CU0672,Standard,West
CU0673,Business,West
CU0674,Premium,East
CU0675,Standard,South
CU0676,Standard,South
CU0677,Business,North
CU0678,Standard,East
CU0679,Standard,East
CU0680,Standard,East
CU0681,Standard,East
CU0682,Standard,South
CU0683,Standard,West
CU0684,Standard,South
CU0685,Standard,North
CU0686,Standard,East
CU0687,Standard,West
CU0688,Business,West
CU0689,Premium,South
CU0690,Standard,South
CU0691,Standard,South
CU0692,Premium,South
CU0693,Standard,East
CU0694,Standard,West
CU0695,Business,East
CU0696,Standard,North
CU0697,Premium,South
CU0698,Standard,South
CU0699,Premium,East
CU0700,Standard,South
CU0701,Standard,East
CU0702,Standard,South
CU0703,Standard,North
CU0704,Premium,East
CU0705,Standard,South
CU0706,Standard,South
CU0707,Premium,East
CU0708,Premium,South
CU0709,Standard,West
CU0710,Standard,West
CU0711,Business,South
CU0712,Premium,North
CU0713,Premium,North
CU0714,Business,West
CU0715,Premium,East
CU0716,Standard,South
CU0717,Standard,South
CU0718,Standard,West
CU0719,Premium,East
CU0720,Business,South
CU0721,Standard,South
CU0722,Standard,West
CU0723,Standard,North
CU0724,Business,South
CU0725,Standard,West
CU0726,Standard,North
CU0727,Standard,West
CU0728,Standard,South
CU0729,Standard,South
CU0730,Standard,West
CU0731,Standard,West
CU0732,Standard,East
CU0733,Standard,North
CU0734,Standard,North
CU0735,Standard,East
CU0736,Premium,West
CU0737,Standard,West
CU0738,Standard,East
CU0739,Standard,South
CU0740,Standard,North
CU0741,Standard,North
CU0742,Standard,South
CU0743,Premium,West
CU0744,Standard,South
CU0745,Standard,South
CU0746,Standard,West
CU0747,Standard,South
CU0748,Standard,North
CU0749,Premium,East
CU0750,Premium,North
CU0751,Standard,South
CU0752,Standard,South
CU0753,Standard,South
CU0754,Standard,South
CU0755,Premium,East
CU0756,Standard,West
CU0757,Standard,South
CU0758,Business,East
CU0759,Standard,West
CU0760,Standard,South
CU0761,Premium,South
CU0762,Standard,North
CU0763,Standard,North
CU0764,Standard,South
CU0765,Business,East
CU0766,Standard,East
CU0767,Standard,East
CU0768,Standard,South
CU0769,Standard,South
CU0770,Standard,East
CU0771,Standard,South
CU0772,Standard,North
CU0773,Standard,North
CU0774,Premium,South
CU0775,Standard,North
CU0776,Premium,East
CU0777,Standard,North
CU0778,Standard,West
CU0779,Premium,East
CU0780,Premium,West
CU0781,Standard,North
CU0782,Business,East
CU0783,Standard,North
CU0784,Standard,South
CU0785,Business,South
CU0786,Standard,South
CU0787,Premium,West
CU0788,Standard,West
CU0789,Premium,West
CU0790,Standard,West
CU0791,Standard,North
CU0792,Standard,East
CU0793,Standard,South
CU0794,Standard,North
CU0795,Standard,North
CU0796,Standard,West
CU0797,Standard,South
CU0798,Standard,North
CU0799,Premium,East
CU0800,Premium,North
CU0801,Premium,East
CU0802,Standard,East
CU0803,Premium,West
CU0804,Standard,North
CU0805,Standard,West
CU0806,Standard,East
CU0807,Premium,South
CU0808,Standard,West
CU0809,Standard,East
CU0810,Business,South
CU0811,Standard,North
CU0812,Standard,West
CU0813,Business,East
CU0814,Standard,East
CU0815,Standard,South
CU0816,Premium,North
CU0817,Premium,South
CU0818,Standard,North
CU0819,Standard,North
CU0820,Standard,East
CU0821,Standard,South
CU0822,Standard,South
CU0823,Standard,North
CU0824,Premium,West
CU0825,Premium,West
CU0826,Standard,South
CU0827,Standard,West
CU0828,Standard,East
CU0829,Premium,South
CU0830,Standard,West
CU0831,Standard,East
CU0832,Standard,South
CU0833,Standard,North
CU0834,Premium,South
CU0835,Premium,East
CU0836,Standard,North
CU0837,Premium,East
CU0838,Business,South
CU0839,Standard,West
CU0840,Standard,North
CU0841,Standard,South
CU0842,Premium,South
CU0843,Standard,South
CU0844,Standard,East
CU0845,Standard,North
CU0846,Premium,North
CU0847,Standard,North
CU0848,Premium,West
CU0849,Standard,West
CU0850,Business,West
CU0851,Standard,North
CU0852,Standard,South
CU0853,Premium,East
CU0854,Business,East
CU0855,Standard,West
CU0856,Standard,West
CU0857,Premium,South
CU0858,Premium,East
CU0859,Standard,East
CU0860,Standard,East
CU0861,Premium,South
CU0862,Premium,South
CU0863,Premium,South
CU0864,Standard,South
CU0865,Standard,South
CU0866,Business,South
CU0867,Premium,East
CU0868,Premium,South
CU0869,Standard,South
CU0870,Standard,East
CU0871,Premium,West
CU0872,Standard,North
CU0873,Business,North
CU0874,Standard,East
CU0875,Premium,North
CU0876,Premium,West
CU0877,Standard,North
CU0878,Standard,West
CU0879,Standard,West
CU0880,Standard,West
CU0881,Standard,South
CU0882,Standard,North
CU0883,Business,South
CU0884,Standard,South
CU0885,Standard,South
CU0886,Standard,East
CU0887,Standard,South
CU0888,Standard,North
CU0889,Standard,East
CU0890,Premium,South
CU0891,Standard,North
CU0892,Business,South
CU0893,Standard,South
CU0894,Standard,North
CU0895,Premium,East
CU0896,Premium,South
CU0897,Standard,West
CU0898,Standard,South
CU0899,Standard,West
CU0900,Standard,North
